code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
PSN,2023-08-09,15:08:01,UPCOM,STOCK,11.7,13.4,10.0,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSP,2023-08-09,15:08:01,UPCOM,STOCK,6.9,7.9,5.9,7.0,7.0,6.8,7.0,6.944,7.0,7.0,6.8,7.0,6.944,18901.0,131246800.0,0.0,0.0,0.1,0.1,1.4493
PDV,2023-08-09,15:08:01,UPCOM,STOCK,13.1,15.0,11.2,13.0,13.1,12.8,12.9,12.921,13.0,13.1,12.8,12.9,12.921,73701.0,952313200.0,0.0,0.0,-0.2,-0.2,-1.5267
NWT,2023-08-09,15:08:01,UPCOM,STOCK,13.2,15.1,11.3,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOS,2023-08-09,15:08:01,UPCOM,STOCK,0.9,1.0,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCS,2023-08-09,15:08:01,UPCOM,STOCK,20.0,23.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,17800.0,356000000.0,0.0,0.0,0.0,0.0,0.0
MVN,2023-08-09,15:08:01,UPCOM,STOCK,18.5,21.2,15.8,18.6,18.7,18.6,18.7,18.653,18.6,18.7,18.6,18.7,18.653,1501.0,27998800.0,0.0,0.0,0.2,0.2,1.0811
NAS,2023-08-09,15:08:01,UPCOM,STOCK,30.0,34.5,25.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WTC,2023-08-09,15:08:01,UPCOM,STOCK,17.1,19.6,14.6,17.3,17.4,17.1,17.2,17.232,17.3,17.4,17.1,17.2,17.232,7500.0,129240000.0,0.0,0.0,0.1,0.1,0.5848
VTX,2023-08-09,15:08:01,UPCOM,STOCK,15.0,21.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTM,2023-08-09,15:08:01,UPCOM,STOCK,21.8,30.5,13.1,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTP,2023-08-09,15:08:01,UPCOM,STOCK,40.6,46.6,34.6,40.8,41.3,40.2,40.8,40.554,40.8,41.3,40.2,40.8,40.554,920524.0,37331065200.0,0.0,0.0,0.2,0.2,0.4926
VST,2023-08-09,15:08:01,UPCOM,STOCK,3.9,4.4,3.4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPA,2023-08-09,15:08:01,UPCOM,STOCK,3.8,4.3,3.3,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,600.0,2280000.0,0.0,0.0,0.0,0.0,0.0
VSG,2023-08-09,15:08:01,UPCOM,STOCK,2.3,2.6,2.0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VLG,2023-08-09,15:08:01,UPCOM,STOCK,3.7,4.2,3.2,3.9,4.2,3.8,4.2,3.998,3.9,4.2,3.8,4.2,3.998,162315.0,648933000.0,0.0,0.0,0.5,0.5,13.5135
VMT,2023-08-09,15:08:01,UPCOM,STOCK,39.0,44.8,33.2,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNA,2023-08-09,15:08:01,UPCOM,STOCK,24.9,28.6,21.2,25.1,25.7,25.0,25.0,25.332,25.1,25.7,25.0,25.0,25.332,32100.0,813160000.0,0.0,0.0,0.1,0.1,0.4016
VIN,2023-08-09,15:08:01,UPCOM,STOCK,17.4,20.0,14.8,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGR,2023-08-09,15:08:01,UPCOM,STOCK,39.2,45.0,33.4,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFC,2023-08-09,15:08:01,UPCOM,STOCK,49.0,56.3,41.7,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VFR,2023-08-09,15:08:01,UPCOM,STOCK,14.2,16.3,12.1,13.5,14.2,12.6,12.6,13.081,13.5,14.2,12.6,12.6,13.081,15601.0,204082300.0,0.0,0.0,-1.6,-1.6,-11.2676
TUG,2023-08-09,15:08:01,UPCOM,STOCK,14.0,16.1,11.9,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSG,2023-08-09,15:08:01,UPCOM,STOCK,12.4,14.2,10.6,12.4,12.4,12.3,12.3,12.325,12.4,12.4,12.3,12.3,12.325,2000.0,24650000.0,0.0,0.0,-0.1,-0.1,-0.8065
TSJ,2023-08-09,15:08:01,UPCOM,STOCK,24.0,27.6,20.4,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILA,2023-08-09,15:08:01,UPCOM,STOCK,4.5,5.1,3.9,4.5,4.8,4.5,4.7,4.677,4.5,4.8,4.5,4.7,4.677,550095.0,2572871500.0,0.0,0.0,0.2,0.2,4.4444
ILC,2023-08-09,15:08:01,UPCOM,STOCK,7.8,8.9,6.7,8.2,8.9,8.2,8.3,8.333,8.2,8.9,8.2,8.3,8.333,1500.0,12500000.0,0.0,0.0,0.5,0.5,6.4103
ILS,2023-08-09,15:08:01,UPCOM,STOCK,16.1,18.5,13.7,17.0,17.0,14.4,14.4,14.8,17.0,17.0,14.4,14.4,14.8,1600.0,23680000.0,0.0,0.0,-1.7,-1.7,-10.559
